Number;Genes;Adjusted p-value;Log fold change;Cluster
0;Slc1a3;0;14,274208;Astro
1;Acsbg1;0;12,911855;Astro
2;Slco1c1;0;14,211376;Astro
3;Ptprz1;0;9,446946;Astro
4;Fam107a;0;11,986991;Astro
5;Malat1;0;2,4290671;Astro
6;Dbi;0;4,5168085;Astro
7;Gstm2-ps1;0;7,54976;Astro
8;Hepacam;0;10,789352;Astro
9;Gm3764;0;5,596883;Astro
10;Sox9;0;8,725215;Astro
11;Cst3;0;4,613614;Astro
12;Qk;0;6,246723;Astro
13;Slc27a1;0;7,091719;Astro
14;Cd63;0;8,064554;Astro
15;Fgfr3;0;11,2232065;Astro
16;Il18;0;8,462346;Astro
17;Tsc22d4;0;9,206058;Astro
18;Slc7a10;0;12,701325;Astro
19;Son;0;2,4091733;Astro
20;S100a1;0;9,563618;Astro
21;Luzp2;0;7,788631;Astro
22;Mertk;0;11,581311;Astro
23;Msmo1;0;4,8771753;Astro
24;Apoe;0;12,930961;Astro
25;Sat1;0;4,673065;Astro
26;Gstm1;0;10,901285;Astro
27;Clu;0;4,116528;Astro
28;Ntsr2;0;12,645241;Astro
29;Gpr37l1;0;14,68437;Astro
30;Ppap2b;0;12,252937;Astro
31;Htra1;0;9,822572;Astro
32;Gja1;0;14,385135;Astro
33;Slc1a2;0;6,5059643;Astro
34;Mt2;0;11,003161;Astro
35;Aldoc;0;10,4162855;Astro
36;Mt1;0;7,753265;Astro
37;Mt3;0;3,3202364;Astro
38;Cldn10;0;13,440437;Astro
39;Pla2g7;0;11,28443;Astro
40;F3;0;12,612741;Astro
41;Prdx6;0;6,533071;Astro
42;Gjb6;0;14,510004;Astro
43;S1pr1;0;14,1941395;Astro
44;Glul;0;6,906565;Astro
45;Bcan;0;10,34494;Astro
46;Mfge8;0;13,38221;Astro
47;Atp1a2;0;12,146331;Astro
48;Gstm5;0;3,902836;Astro
49;Ndrg2;0;8,488193;Astro
50;Tlcd1;6,14E-304;12,151042;Astro
51;Atp1b2;1,45E-303;4,3587604;Astro
52;Btbd17;3,34E-302;10,370472;Astro
53;Zbtb20;6,89E-301;8,157679;Astro
54;Slc38a3;2,52E-299;11,954609;Astro
55;Acsl3;5,98E-298;4,277006;Astro
56;Mmd2;9,31E-297;7,0277543;Astro
57;Appl2;1,59E-294;7,910785;Astro
58;Prdx1;2,19E-294;2,6231618;Astro
59;Cmtm5;1,96E-292;11,169573;Astro
60;Mlc1;3,09E-292;12,268967;Astro
61;Slc39a12;6,99E-291;12,822182;Astro
62;Vcam1;2,51E-290;10,720152;Astro
63;S100a16;5,73E-289;10,752025;Astro
64;Cd63-ps;1,08E-287;4,7810335;Astro
65;Lcat;5,53E-287;12,612626;Astro
66;Csrp1;7,68E-285;8,109918;Astro
67;Nat8;1,17E-284;12,282455;Astro
68;Car2;1,74E-282;8,504835;Astro
69;Fxyd1;5,62E-280;6,56365;Astro
70;Dbx2;1,45E-277;10,510903;Astro
71;Hmgn3;2,42E-277;2,5272176;Astro
72;Slc4a4;3,88E-277;7,671261;Astro
73;Fam20a;4,06E-277;8,96129;Astro
74;Ttyh1;2,00E-275;3,6714222;Astro
75;Sdc4;1,04E-274;9,420905;Astro
76;Fermt2;2,37E-274;6,185341;Astro
77;Daam2;9,86E-274;9,520581;Astro
78;Aqp4;1,91E-273;12,957885;Astro
79;Cml1;9,25E-271;6,6435556;Astro
80;Rsrp1;1,76E-270;1,9717891;Astro
81;Prex2;9,86E-267;8,604738;Astro
82;Nkain4;4,50E-265;6,5771074;Astro
83;Dclk1;6,64E-265;2,591302;Astro
84;Dio2;1,38E-262;10,132815;Astro
85;Slc25a18;2,13E-262;10,584597;Astro
86;Sfxn5;3,07E-261;5,402913;Astro
87;Ptplb;1,34E-260;5,7348166;Astro
88;Vegfa;2,22E-260;5,0421495;Astro
89;Gng5;7,45E-260;5,89426;Astro
90;Slc9a3r1;1,41E-259;11,0562525;Astro
91;Cspg5;1,55E-259;2,7436461;Astro
92;Tril;8,44E-259;10,529548;Astro
93;Gm12222;5,49E-258;4,2850246;Astro
94;Id4;5,20E-257;7,723402;Astro
95;Timp4;5,59E-256;7,8818736;Astro
96;Sparcl1;9,53E-256;3,341848;Astro
97;Macf1;8,88E-255;2,7072437;Astro
98;Nfia;1,25E-254;5,7832522;Astro
99;Ntrk2;7,59E-254;2,865673;Astro
0;Sdcbp;8,27E-65;1,98193;Batch Grouping
1;Pou3f1;1,66E-62;6,55609;Batch Grouping
2;Serpine2;6,20E-62;6,6125593;Batch Grouping
3;LOC102634502;1,02E-58;5,531138;Batch Grouping
4;Gm6789;6,87E-58;3,1627858;Batch Grouping
5;Tmem163;1,81E-52;6,19174;Batch Grouping
6;Chst8;2,91E-52;5,5039053;Batch Grouping
7;Grp;4,91E-52;6,634044;Batch Grouping
8;Acer2;1,32E-50;5,0643177;Batch Grouping
9;Mt1;8,36E-49;3,2623336;Batch Grouping
10;Gmpr;8,36E-49;2,682851;Batch Grouping
11;Fezf2;3,76E-48;6,0384283;Batch Grouping
12;Gm19410;5,15E-47;5,2114754;Batch Grouping
13;Meis2;9,64E-47;5,608861;Batch Grouping
14;Kcng1;2,85E-46;5,5372286;Batch Grouping
15;Igsf21;4,74E-46;4,900316;Batch Grouping
16;Tcerg1l;1,28E-44;5,205834;Batch Grouping
17;Gm2164;1,77E-44;5,701642;Batch Grouping
18;Sh3bgrl3;4,47E-44;1,571868;Batch Grouping
19;1700037H04Rik;1,80E-42;2,009801;Batch Grouping
20;Vsig2;2,39E-42;3,5305004;Batch Grouping
21;Fam19a1;3,02E-42;5,996327;Batch Grouping
22;Mt2;3,02E-42;4,4874005;Batch Grouping
23;Calm2;5,85E-42;0,98928326;Batch Grouping
24;Tekt5;1,21E-41;5,530959;Batch Grouping
25;Dtnbp1;1,50E-41;2,4470952;Batch Grouping
26;Jsrp1;1,70E-41;4,5096765;Batch Grouping
27;Id2;2,13E-41;4,2278905;Batch Grouping
28;Pcp4;4,67E-41;5,4870825;Batch Grouping
29;Qrfpr;3,07E-40;6,2849803;Batch Grouping
30;Slc20a1;3,37E-40;2,8511539;Batch Grouping
31;Bhlhe40;1,97E-39;4,4778523;Batch Grouping
32;Pik3r6;4,34E-39;5,2500215;Batch Grouping
33;Gstp1;8,22E-39;0,9541636;Batch Grouping
34;Tmem150c;2,08E-38;3,8609676;Batch Grouping
35;Pex5l;1,68E-37;3,3829057;Batch Grouping
36;Bend5;2,49E-37;3,6780548;Batch Grouping
37;Slc5a5;1,72E-36;4,6554174;Batch Grouping
38;Ier5l;4,14E-36;2,8039343;Batch Grouping
39;B230206L02Rik;7,08E-36;4,523649;Batch Grouping
40;Npr3;1,06E-35;4,954122;Batch Grouping
41;Cyb5r1;1,06E-35;3,440509;Batch Grouping
42;Tiam2;1,27E-35;3,8514578;Batch Grouping
43;Myh7;1,32E-35;4,926088;Batch Grouping
44;Rasgrf1;2,72E-35;2,2659972;Batch Grouping
45;Kif22;1,14E-34;2,972156;Batch Grouping
46;Ckmt1;1,56E-34;1,464448;Batch Grouping
47;Rgma;1,56E-34;3,4129639;Batch Grouping
